gene_id	module_no	colors
ENSG00000119782	5	green
ENSG00000119787	1	turquoise
ENSG00000119801	3	brown
ENSG00000119812	1	turquoise
ENSG00000119820	3	brown
ENSG00000119844	6	red
ENSG00000119862	4	yellow
ENSG00000119865	13	salmon
ENSG00000119866	1	turquoise
ENSG00000119878	3	brown
ENSG00000119888	4	yellow
ENSG00000119899	2	blue
ENSG00000119900	9	magenta
ENSG00000119906	24	darkgrey
ENSG00000119912	17	grey60
ENSG00000119917	6	red
ENSG00000119919	4	yellow
ENSG00000119922	25	orange
ENSG00000119927	1	turquoise
ENSG00000119929	2	blue
ENSG00000119938	8	pink
ENSG00000119943	18	lightgreen
ENSG00000119950	2	blue
ENSG00000119953	1	turquoise
ENSG00000119965	8	pink
ENSG00000119969	1	turquoise
ENSG00000119977	3	brown
ENSG00000119979	2	blue
ENSG00000119986	2	blue
ENSG00000120008	25	orange
ENSG00000120029	19	lightyellow
ENSG00000120049	7	black
ENSG00000120053	2	blue
ENSG00000120055	16	lightcyan
ENSG00000120063	2	blue
ENSG00000120068	1	turquoise
ENSG00000120071	1	turquoise
ENSG00000120075	28	skyblue
ENSG00000120093	1	turquoise
ENSG00000120129	2	blue
ENSG00000120137	4	yellow
ENSG00000120156	24	darkgrey
ENSG00000120158	1	turquoise
ENSG00000120159	2	blue
ENSG00000120162	4	yellow
ENSG00000120217	6	red
ENSG00000120253	1	turquoise
ENSG00000120254	1	turquoise
ENSG00000120256	1	turquoise
ENSG00000120262	20	royalblue
ENSG00000120265	3	brown
ENSG00000120278	1	turquoise
ENSG00000120279	26	darkorange
ENSG00000120280	5	green
ENSG00000120306	2	blue
ENSG00000120314	6	red
ENSG00000120318	1	turquoise
ENSG00000120327	1	turquoise
ENSG00000120328	1	turquoise
ENSG00000120333	3	brown
ENSG00000120334	1	turquoise
ENSG00000120337	6	red
ENSG00000120341	9	magenta
ENSG00000120370	4	yellow
ENSG00000120437	19	lightyellow
ENSG00000120438	8	pink
ENSG00000120451	13	salmon
ENSG00000120457	4	yellow
ENSG00000120458	1	turquoise
ENSG00000120498	2	blue
ENSG00000120509	3	brown
ENSG00000120519	4	yellow
ENSG00000120526	1	turquoise
ENSG00000120533	3	brown
ENSG00000120539	1	turquoise
ENSG00000120549	7	black
ENSG00000120594	17	grey60
ENSG00000120616	2	blue
ENSG00000120647	26	darkorange
ENSG00000120656	3	brown
ENSG00000120658	1	turquoise
ENSG00000120659	1	turquoise
ENSG00000120662	11	greenyellow
ENSG00000120675	5	green
ENSG00000120685	1	turquoise
ENSG00000120686	11	greenyellow
ENSG00000120688	20	royalblue
ENSG00000120690	7	black
ENSG00000120693	12	tan
ENSG00000120694	1	turquoise
ENSG00000120696	1	turquoise
ENSG00000120697	8	pink
ENSG00000120699	10	purple
ENSG00000120705	14	cyan
ENSG00000120708	1	turquoise
ENSG00000120709	1	turquoise
ENSG00000120725	2	blue
